"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Days_16C","Max_Monthly_Anomaly_Upwelling_Temp","Days_10N","log_UBR_Max","mean_depth","mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling","log_Min_Monthly_NPP","cumsum.wi"
"log_Mean_Monthly_NPP_Upwelling+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2528.23744275291,2681.84163921365,0.7207,NA,30.73,0,62.334,41.007,0,0,0,0,0,0,0,1,1,0,0.993
"mean_depth","mean_depth","s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2528.29392284352,2673.62411599286,0.72016,NA,28.81,0,62.39,32.789,0,0,0,0,0,0,1,0,0,0,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2528.34860214595,2708.74389871504,0.71526,NA,35.01,0,62.445,67.909,0,0,1,0,1,0,0,1,1,1,0.993
"log_Days_16C+mean_depth+mean_prob_of_rock","log_Days_16C+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2528.37597162401,2668.34855778,0.71918,NA,28.09,0,62.472,27.514,0,0,1,0,0,0,1,1,0,0,0.993
"log_Days_16C+mean_prob_of_rock","log_Days_16C+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2529.0602294583,2683.63275159829,0.72092,NA,30.93,0,63.156,42.798,0,0,1,0,0,0,0,1,0,0,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2529.06037987615,2683.70918579958,0.71923,NA,31.04,0,63.157,42.875,0,0,0,0,1,0,0,1,1,0,0.993
"Days_10N+mean_depth+mean_prob_of_rock","Days_10N+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2529.13474213101,2674.77669163077,0.72043,NA,28.35,0,63.231,33.942,0,0,0,0,1,0,1,1,0,0,0.993
"Days_10N+mean_depth","Days_10N+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2529.30195663178,2677.9153539074,0.72066,NA,29.04,0,63.398,37.081,0,0,0,0,1,0,1,0,0,0,0.993
"Days_10N+log_Days_16C+mean_prob_of_rock","Days_10N+log_Days_16C+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2529.35809733106,2684.33683715442,0.71983,NA,31.31,0,63.454,43.502,0,0,1,0,1,0,0,1,0,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2529.51199461569,2673.34868747793,0.71939,NA,28.98,0,63.608,32.514,0,0,1,0,0,0,1,1,1,0,0.993
"Days_10N","Days_10N","s(Days_10N, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2529.79959034004,2690.95944887413,0.72077,NA,31.47,0,63.896,50.125,0,0,0,0,1,0,0,0,0,0,0.993
"log_Mean_Monthly_NPP_Upwelling+mean_depth","log_Mean_Monthly_NPP_Upwelling+mean_depth","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2530.02172585001,2679.59603656916,0.72036,NA,29.72,0,64.118,38.761,0,0,0,0,0,0,1,0,1,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2530.49127947996,2688.29395635702,0.72066,NA,31.67,0,64.588,47.459,0,0,1,0,0,0,0,1,1,0,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2530.52809379893,2680.54415230986,0.72075,NA,29.3,0,64.624,39.71,0,0,0,0,1,0,1,1,1,0,0.993
"log_Days_16C+mean_depth","log_Days_16C+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2530.59497845961,2680.40233230028,0.72019,NA,29.78,0,64.691,39.568,0,0,1,0,0,0,1,0,0,0,0.993
"Days_10N+log_Days_16C+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2530.82499382775,2680.41458750312,0.72053,NA,29.34,0,64.921,39.58,0,0,1,0,1,0,1,1,0,0,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2531.07960260696,2689.94282510325,0.71935,NA,31.98,0,65.176,49.108,0,0,1,0,1,0,0,1,1,0,0.993
"Days_10N+log_Days_16C","Days_10N+log_Days_16C","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2531.23324349618,2696.15038031923,0.721,NA,32.52,0,65.33,55.316,0,0,1,0,1,0,0,0,0,0,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling","Days_10N+log_Mean_Monthly_NPP_Upwelling","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2531.41553154842,2696.51189527067,0.72075,NA,32.32,0,65.512,55.677,0,0,0,0,1,0,0,0,1,0,0.993
"Days_10N+log_Days_16C+mean_depth","Days_10N+log_Days_16C+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2531.46644124425,2684.56318750919,0.72075,NA,30.04,0,65.563,43.729,0,0,1,0,1,0,1,0,0,0,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2532.26330796649,2686.28754746914,0.72087,NA,30.3,0,66.36,45.453,0,0,1,0,1,0,1,1,1,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_depth","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2532.36379892004,2686.49931692028,0.7204,NA,30.69,0,66.46,45.665,0,0,1,0,0,0,1,0,1,0,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2532.88879336685,2701.76819006584,0.72099,NA,33.37,0,66.985,60.934,0,0,1,0,1,0,0,0,1,0,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+mean_depth","Days_10N+log_Mean_Monthly_NPP_Upwelling+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2534.71782427415,2695.30696809742,0.72102,NA,30.08,0,68.814,54.472,0,0,0,0,1,0,1,0,1,0,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_depth","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2536.85513452175,2701.8389770372,0.72112,NA,31.08,0,70.951,61.004,0,0,1,0,1,0,1,0,1,0,0.993
