"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Days_10N","Min_Monthly_Nitrate","Max_Monthly_Nitrate","Mean_Monthly_Nitrate","Mean_Monthly_Upwelling_Nitrate","Mean_Monthly_Temp","Max_Monthly_Anomaly_Upwelling_Temp","wh_95prc","wh_max","log_den_STRPURAD","log_Days_16C","log_UBR_Mean","log_UBR_Max","log_Mean_Monthly_NPP_Upwelling","Mean_Monthly_NPP","Max_Monthly_NPP_Upwelling","cumsum.wi"
"Days_10N+log_Days_16C+log_UBR_Mean+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate","Days_10N+log_Days_16C+log_UBR_Mean+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1398.95094924646,1566.00125338253,0.38581,NA,33.85,0,76.88,64.55,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0.999
"Days_10N+Min_Monthly_Nitrate","Days_10N+Min_Monthly_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1399.04460591828,1545.64436129675,0.41057,NA,31.2,0,76.974,44.193,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999
"log_Days_16C+log_UBR_Max+Mean_Monthly_NPP+Mean_Monthly_Temp","log_Days_16C+log_UBR_Max+Mean_Monthly_NPP+Mean_Monthly_Temp","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1399.1977614057,1563.69991960815,0.42243,NA,33.23,0,77.127,62.249,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.999
"log_Days_16C+log_UBR_Max+Mean_Monthly_Nitrate+Mean_Monthly_NPP","log_Days_16C+log_UBR_Max+Mean_Monthly_Nitrate+Mean_Monthly_NPP","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1399.68106317514,1559.49994083036,0.41066,NA,32.93,0,77.61,58.049,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.999
"Days_10N+log_Days_16C+log_UBR_Max+Mean_Monthly_Nitrate+Mean_Monthly_NPP","Days_10N+log_Days_16C+log_UBR_Max+Mean_Monthly_Nitrate+Mean_Monthly_NPP","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1399.71249471462,1562.23167361455,0.41383,NA,33.57,0,77.641,60.78,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.999
"log_Mean_Monthly_NPP_Upwelling+wh_max","log_Mean_Monthly_NPP_Upwelling+wh_max","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1399.9477958339,1549.1103623737,0.39457,NA,30.04,0,77.877,47.659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.999
"Days_10N+log_UBR_Mean+Min_Monthly_Nitrate","Days_10N+log_UBR_Mean+Min_Monthly_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1400.05980697311,1549.35652784116,0.41156,NA,31.79,0,77.989,47.905,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.999
"log_UBR_Max+Mean_Monthly_NPP","log_UBR_Max+Mean_Monthly_NPP","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1400.31531807596,1547.57893515618,0.3948,NA,31.7,0,78.244,46.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.999
"Days_10N+log_Days_16C+log_UBR_Max","Days_10N+log_Days_16C+log_UBR_Max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1400.40113591423,1562.8816406394,0.39454,NA,33.38,0,78.33,61.43,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.999
"log_UBR_Max+Mean_Monthly_Upwelling_Nitrate","log_UBR_Max+Mean_Monthly_Upwelling_Nitrate","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1400.51940116297,1544.01081688575,0.41773,NA,30.03,0,78.448,42.56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.999
"Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_NPP_Upwelling","Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_NPP_Upwelling","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1400.79145633316,1563.71210738411,0.39528,NA,33.86,0,78.72,62.261,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.999
"log_Days_16C+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp","log_Days_16C+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp","s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1400.90046778376,1549.98726938801,0.40413,NA,31.11,0,78.829,48.536,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.999
"Days_10N+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","Days_10N+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1400.94428180228,1549.43939730508,0.41121,NA,31.64,0,78.873,47.988,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.999
"Days_10N+log_Days_16C+log_UBR_Max+Mean_Monthly_NPP+Mean_Monthly_Temp","Days_10N+log_Days_16C+log_UBR_Max+Mean_Monthly_NPP+Mean_Monthly_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1401.05773333037,1573.76635631521,0.42671,NA,34.44,0,78.987,72.315,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.999
"Days_10N+log_Days_16C+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp","Days_10N+log_Days_16C+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1401.0585777346,1558.63248357563,0.40944,NA,32.58,0,78.987,57.181,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.999
"log_Days_16C+Mean_Monthly_Temp","log_Days_16C+Mean_Monthly_Temp","s(log_Days_16C, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1401.06691937091,1547.44795887313,0.4028,NA,30.28,0,78.996,45.997,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.999
"Days_10N+log_Mean_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","Days_10N+log_Mean_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1401.09301363353,1550.06176308835,0.41258,NA,31.72,0,79.022,48.61,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.999
"log_Days_16C+log_UBR_Mean+Min_Monthly_Nitrate","log_Days_16C+log_UBR_Mean+Min_Monthly_Nitrate","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1401.28183880988,1560.60894541864,0.39619,NA,32.75,0,79.211,59.158,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.999
"Days_10N+log_UBR_Max+Mean_Monthly_Upwelling_Nitrate","Days_10N+log_UBR_Max+Mean_Monthly_Upwelling_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1401.35902338824,1546.96254671832,0.4186,NA,30.63,0,79.288,45.511,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.999
"Days_10N+log_Days_16C+log_UBR_Max+Mean_Monthly_NPP","Days_10N+log_Days_16C+log_UBR_Max+Mean_Monthly_NPP","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1401.39869613574,1574.49574138145,0.40009,NA,35.22,0,79.328,73.044,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.999
"Min_Monthly_Nitrate","Min_Monthly_Nitrate","s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1401.70304935292,1548.35509688883,0.40397,NA,30.6,0,79.632,46.904,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999
"Days_10N+log_Days_16C+Min_Monthly_Nitrate","Days_10N+log_Days_16C+Min_Monthly_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1401.78265175846,1565.34641200377,0.40308,NA,32.95,0,79.712,63.895,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.999
"log_UBR_Max+Mean_Monthly_Nitrate","log_UBR_Max+Mean_Monthly_Nitrate","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1401.83949208626,1535.03512864648,0.42348,NA,28.67,0,79.768,33.584,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.999
"log_UBR_Mean+Max_Monthly_NPP_Upwelling+wh_95prc","log_UBR_Mean+Max_Monthly_NPP_Upwelling+wh_95prc","s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.0229192252,1562.7884672336,0.39975,NA,32.46,0,79.952,61.337,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.999
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Mean_Monthly_Temp","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Mean_Monthly_Temp","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.07411118107,1551.78843178946,0.40513,NA,31.17,0,80.003,50.337,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.999
"log_UBR_Max+Mean_Monthly_Nitrate+Mean_Monthly_NPP","log_UBR_Max+Mean_Monthly_Nitrate+Mean_Monthly_NPP","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.10629140451,1546.06127529717,0.42654,NA,30.54,0,80.035,44.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.999
"log_UBR_Max","log_UBR_Max","s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.12277211063,1537.91336944209,0.38967,NA,29.46,0,80.052,36.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.999
"log_Days_16C+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","log_Days_16C+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.2706280425,1562.52091999486,0.39667,NA,33.18,0,80.2,61.07,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.999
"Days_10N+log_Days_16C+log_UBR_Mean+Min_Monthly_Nitrate","Days_10N+log_Days_16C+log_UBR_Mean+Min_Monthly_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.27065007076,1566.88320235077,0.40352,NA,33.47,0,80.2,65.432,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.999
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Mean_Monthly_Temp","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Mean_Monthly_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.28808054407,1560.66548638894,0.41077,NA,32.65,0,80.217,59.214,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.999
"log_Days_16C+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","log_Days_16C+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.3216073649,1562.76916792859,0.39667,NA,32.81,0,80.251,61.318,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.999
"log_Days_16C+Min_Monthly_Nitrate","log_Days_16C+Min_Monthly_Nitrate","s(log_Days_16C, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.46814050656,1564.4515566402,0.39648,NA,32.44,0,80.397,63,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.999
"Days_10N+log_UBR_Max+Mean_Monthly_Nitrate","Days_10N+log_UBR_Max+Mean_Monthly_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.58936905441,1537.68280239207,0.42364,NA,29.19,0,80.518,36.231,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.999
"log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Upwelling_Nitrate","log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Upwelling_Nitrate","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.60342890085,1548.88746082293,0.41772,NA,30.66,0,80.532,47.436,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.999
"Days_10N+log_Days_16C+Mean_Monthly_Temp","Days_10N+log_Days_16C+Mean_Monthly_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.61674095815,1558.2953175277,0.4082,NA,31.68,0,80.546,56.844,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.999
"Days_10N+log_UBR_Max+Mean_Monthly_Nitrate+Mean_Monthly_NPP","Days_10N+log_UBR_Max+Mean_Monthly_Nitrate+Mean_Monthly_NPP","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.66745108801,1547.99624641464,0.42629,NA,30.98,0,80.596,46.545,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.999
"Mean_Monthly_Upwelling_Nitrate","Mean_Monthly_Upwelling_Nitrate","s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.68298330128,1538.65098713815,0.40921,NA,28.69,0,80.612,37.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.999
"log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate","log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.83575830271,1549.21903017844,0.41738,NA,30.69,0,80.765,47.768,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.999
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1402.91609647658,1564.98922977604,0.39819,NA,33.07,0,80.845,63.538,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.999
"log_Days_16C+Mean_Monthly_Nitrate","log_Days_16C+Mean_Monthly_Nitrate","s(log_Days_16C, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1403.01204588069,1544.66754178577,0.39685,NA,29.43,0,80.941,43.216,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.999
"log_Days_16C+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp","log_Days_16C+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1403.08715605472,1556.10271140698,0.40561,NA,31.39,0,81.016,54.651,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.999
"Days_10N+log_Days_16C+Mean_Monthly_Nitrate","Days_10N+log_Days_16C+Mean_Monthly_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1403.3399563677,1548.12477187104,0.39974,NA,30.08,0,81.269,46.673,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.999
"Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp","Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1403.40514259411,1565.26450991935,0.41048,NA,32.91,0,81.334,63.813,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.999
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Upwelling_Nitrate","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Upwelling_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1403.44376190569,1551.79517637147,0.41858,NA,31.26,0,81.373,50.344,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.999
"Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate","s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1403.50608231062,1552.70391627519,0.40486,NA,31.2,0,81.435,51.253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.999
"log_UBR_Max+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate","log_UBR_Max+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1403.55821797165,1558.51763176601,0.42048,NA,31.69,0,81.487,57.066,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.999
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1403.57642279503,1574.05056542608,0.39803,NA,34.5,0,81.505,72.599,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.999
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1403.62783671567,1567.05877272042,0.39121,NA,32.89,0,81.557,65.607,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.999
"Days_10N+Mean_Monthly_Upwelling_Nitrate","Days_10N+Mean_Monthly_Upwelling_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1403.63023290998,1541.72360453666,0.41005,NA,29.27,0,81.559,40.272,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.999
"Days_10N+Mean_Monthly_NPP+Min_Monthly_Nitrate","Days_10N+Mean_Monthly_NPP+Min_Monthly_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1403.64129058027,1561.14025069752,0.41146,NA,32.58,0,81.57,59.689,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.999
