"year","latlon","max.area","latitude","longitude","longitude.1","latitude.1"
"2021","39.22922_-123.7757",54,39.22922,-123.7757,-123.7757,39.22922
"2021","39.23784_-123.7792",34,39.23784,-123.7792,-123.7792,39.23784
"2021","39.25075_-123.7898",36,39.25075,-123.7898,-123.7898,39.25075
"2021","39.25993_-123.7913",124,39.25993,-123.7913,-123.7913,39.25993
"2021","39.26233_-123.7952",137,39.26233,-123.7952,-123.7952,39.26233
"2021","39.26422_-123.7955",38,39.26422,-123.7955,-123.7955,39.26422
"2021","39.26478_-123.7928",20,39.26478,-123.7928,-123.7928,39.26478
"2021","39.26747_-123.7949",21,39.26747,-123.7949,-123.7949,39.26747
"2021","39.26824_-123.8004",144,39.26824,-123.8004,-123.8004,39.26824
"2021","39.26849_-123.8039",59,39.26849,-123.8039,-123.8039,39.26849
"2021","39.26857_-123.7921",48,39.26857,-123.7921,-123.7921,39.26857
"2021","39.27121_-123.8022",23,39.27121,-123.8022,-123.8022,39.27121
"2021","39.2731_-123.8022",25,39.2731,-123.8022,-123.8022,39.2731
"2021","39.29637_-123.7983",54,39.29637,-123.7983,-123.7983,39.29637
"2021","39.31462_-123.8173",52,39.31462,-123.8173,-123.8173,39.31462
"2021","39.32119_-123.8063",183,39.32119,-123.8063,-123.8063,39.32119
"2021","39.32412_-123.8119",32,39.32412,-123.8119,-123.8119,39.32412
"2021","39.38214_-123.8258",129,39.38214,-123.8258,-123.8258,39.38214
"2021","39.42978_-123.8166",129,39.42978,-123.8166,-123.8166,39.42978
"2021","39.44278_-123.8139",21,39.44278,-123.8139,-123.8139,39.44278
"2021","39.45112_-123.8186",100,39.45112,-123.8186,-123.8186,39.45112
"2021","39.45871_-123.8159",11,39.45871,-123.8159,-123.8159,39.45871
"2021","39.48771_-123.8054",63,39.48771,-123.8054,-123.8054,39.48771
"2021","39.9008962788666_-123.92813077832",129,39.9008962788666,-123.92813077832,-123.92813077832,39.9008962788666
"2021","39.950255648388_-123.973749981864",50,39.950255648388,-123.973749981864,-123.973749981864,39.950255648388
"2021","40.0749409560598_-124.085997941008",45,40.0749409560598,-124.085997941008,-124.085997941008,40.0749409560598
"2021","40.0813738410427_-124.091729925636",159,40.0813738410427,-124.091729925636,-124.091729925636,40.0813738410427
"2021","40.1167953030267_-124.146158799497",65,40.1167953030267,-124.146158799497,-124.146158799497,40.1167953030267
"2021","40.1299423397613_-124.182646937385",284,40.1299423397613,-124.182646937385,-124.182646937385,40.1299423397613
"2021","40.3025275280677_-124.3653296777",38,40.3025275280677,-124.3653296777,-124.3653296777,40.3025275280677
"2021","40.3556777756704_-124.373113589051",23,40.3556777756704,-124.373113589051,-124.373113589051,40.3556777756704
"2021","40.3567291896765_-124.375607899846",32,40.3567291896765,-124.375607899846,-124.375607899846,40.3567291896765
"2021","40.3581011813596_-124.373869339412",38,40.3581011813596,-124.373869339412,-124.373869339412,40.3581011813596
"2021","40.3988042056737_-124.382827079867",76,40.3988042056737,-124.382827079867,-124.382827079867,40.3988042056737
"2021","41.0498438427018_-124.134355519451",50,41.0498438427018,-124.134355519451,-124.134355519451,41.0498438427018
"2021","41.0546084656891_-124.144433278345",44,41.0546084656891,-124.144433278345,-124.144433278345,41.0546084656891
"2021","41.0562437808512_-124.143033601992",37,41.0562437808512,-124.143033601992,-124.143033601992,41.0562437808512
"2021","41.0585186189474_-124.158781762759",57,41.0585186189474,-124.158781762759,-124.158781762759,41.0585186189474
"2021","41.0595742189937_-124.161299453812",419,41.0595742189937,-124.161299453812,-124.161299453812,41.0595742189937
"2021","41.0841793296501_-124.159946774488",225,41.0841793296501,-124.159946774488,-124.159946774488,41.0841793296501
"2021","41.7434007484022_-124.223327869279",121,41.7434007484022,-124.223327869279,-124.223327869279,41.7434007484022
"2021","41.762912491239_-124.243186822078",77,41.762912491239,-124.243186822078,-124.243186822078,41.762912491239
"2021","41.7745354856707_-124.291779944604",306,41.7745354856707,-124.291779944604,-124.291779944604,41.7745354856707
"2021","41.7867904293429_-124.258811303311",117,41.7867904293429,-124.258811303311,-124.258811303311,41.7867904293429
"2021","41.9496601965369_-124.214233936538",225,41.9496601965369,-124.214233936538,-124.214233936538,41.9496601965369
"2021","42.0021832601309_-124.229721978352",99,42.0021832601309,-124.229721978352,-124.229721978352,42.0021832601309
"2021","39.29555_-123.7997",0,39.29555,-123.7997,-327367.016183394,148747.335289554
"2021","38.66874_-123.4185",0,38.66874,-123.4185,-297050.794304118,77875.5558314552
"2021","38.59057_-123.3475",0,38.59057,-123.3475,-291190.568293438,68971.6783585059
"2021","37.00986_-122.2068",0,37.00986,-122.2068,-196076.196239178,-109604.354118248
"2021","38.54554_-123.3032",0,38.54554,-123.3032,-287512.952167704,63834.0823533703
"2021","38.69569_-123.4415",0,38.69569,-123.4415,-298939.789493983,80941.5320196431
"2021","38.93697_-123.7358",0,38.93697,-123.7358,-323434.448681468,108706.950738743
"2021","36.95401_-122.1103",0,36.95401,-122.1103,-187641.699292436,-116005.944889647
"2021","38.88941_-123.6893",0,38.88941,-123.6893,-319616.313236045,103267.099306705
"2021","38.56197_-123.3274",0,38.56197,-123.3274,-289554.392040879,65732.9562362996
"2021","39.27929_-123.8058",0,39.27929,-123.8058,-327964.803113427,146962.86373575
"2021","39.08906_-123.7113",0,39.08906,-123.7113,-320652.859266376,125514.637091
"2021","39.44408_-123.8213",0,39.44408,-123.8213,-328561.887320086,165314.533075003
"2021","39.2003_-123.7736",0,39.2003,-123.7736,-325540.752569895,138080.396228259
"2021","39.4108_-123.8254",0,39.4108,-123.8254,-329063.399328455,161633.52956996
"2021","39.06155_-123.6993",0,39.06155,-123.6993,-319735.867184966,122418.9332461
"2021","36.94805_-121.9753",0,36.94805,-121.9753,-175653.492007891,-116926.912036362
"2021","39.05776_-123.7006",0,39.05776,-123.7006,-319864.608436313,122002.409058552
"2021","39.43758_-123.8233",0,39.43758,-123.8233,-328762.87772207,164599.747484186
"2021","38.7793_-123.5518",0,38.7793,-123.5518,-308168.307183289,90581.9551808289
"2021","38.5073_-123.237",0,38.5073,-123.237,-281898.220430162,59387.0719451657
"2021","39.09364_-123.7135",0,39.09364,-123.7135,-320822.907370094,126030.715905229
